おねがい,お願い
この度,このたび
又は,または
未だに,いまだに
アイディア,アイデア
合せる,合わせる
合す,合わす
落す,落とす
所謂,いわゆる
積る,積もる
或いは,あるいは
押える,押さえる
当る,当たる
終る,終わる
断わる,断る
現われる,現れる
表わす,表す
申出る,申し出る
申送り,申し送り
ご理解・ご協力,ご理解ご協力
シュミレーション,シミュレーション
行なう,行う
凡そ,およそ
ウィルス,ウイルス
頂きます,いただきます
頂きません,いただきません
あたり前,当たり前
敢えて,あえて
生憎,あいにく
美味しい,おいしい
殆ど,ほとんど
中々,なかなか
問合わせ,問い合わせ
但し,ただし
一旦,いったん
致します,いたします
宜しく,よろしく
下さいます様,くださいますよう
御座いました,ございました
有難う,ありがとう
予め,あらかじめ
臆測,憶測
全く,まったく
ドッヂボール,ドッジボール
称讚,称賛
賞讚,賞賛
坐礁,座礁
交叉,交差
兇行,凶行
稀薄,希薄
稀少,希少
潰滅,壊滅
廻転,回転
衣裳,衣装
引換え,引き換え
売上げ,売り上げ
見積り,見積もり
焼き立て,焼きたて
取り扱い,取扱い
引越,引越し
引っ越し,引越し
ユーザ,ユーザー
取扱,取扱い
受付け,受付
成る,なる
直ぐに,すぐに
何れ,いずれ
変る,変わる
晴やか,晴れやか
暮す,暮らす
聞える,聞こえる
捕える,捕らえる
浮ぶ,浮かぶ
生れる,生まれる
をし,し
をする,する
いたします,します
出来る,できる
何とぞ,何卒
はたらく,働く
できない,出来ない
できる,出来る
できあが,出来上が
行う,行なう
申込む,申し込む
申込み,申し込み
位置付け,位置づけ
諦め,あきらめ
はたらき,働き
ともない,伴い
上手く,うまく
上手い,うまい
問い合せ,問い合わせ
問合せ,問い合わせ
下さい,ください